Source,Target,Amount,LND1
12716,7522,8,"[[12716, 609, 254, 7011, 7522], np.float64(0.0003800000000000001), np.int64(160), 5, 'Success']"
4769,7970,75,"[[4769, 855, 5783, 7970], np.float64(0.02625), np.int64(120), 4, 'Success']"
4557,3732,725,"[[4557, 3083, 5965, 167, 3732], np.float64(2.1757199999999997), np.int64(254), 5, 'Success']"
2245,6772,2962,"[[2245, 609, 8751, 6958, 6772], np.float64(0.54604), np.int64(160), 5, 'Success']"
7302,3429,39107,"[[7302, 7218, 2, 32, 3429], np.float64(137.89693), np.int64(346), 5, 'Failure']"
7060,11246,321026,"[[7060, 7053, 10113, 11067, 11246], np.float64(7.3836), np.int64(160), 5, 'Success']"
88,217,3793774,"[[88, 177, 217], np.float64(210.90757), np.int64(58), 3, 'Success']"
56,172,78790828,"[[56, 321, 172], np.float64(79.79083), np.int64(80), 3, 'Failure']"
12230,12111,1,"[[12230, 8557, 167, 12111], np.float64(0.001), np.int64(110), 4, 'Success']"
10273,5998,69,"[[10273, 609, 781, 5998], np.float64(1.00014), np.int64(120), 4, 'Success']"
9068,5038,640,"[[9068, 8768, 2, 5038], np.float64(1.92), np.int64(202), 4, 'Success']"
5748,6555,8511,"[[5748, 67, 18, 1399, 6555], np.float64(4.73524), np.int64(154), 5, 'Failure']"
7018,11459,13631,"[[7018, 21, 6125, 11459], np.float64(2.02726), np.int64(120), 4, 'Success']"
2192,5473,660546,"[[2192, 855, 5320, 5004, 5473], np.float64(154.59068), np.int64(160), 5, 'Failure']"
3998,12746,1445639,"[[3998, 63, 173, 855, 12746], np.float64(370.90385), np.int64(138), 5, 'Failure']"
8265,2359,51916247,"[[8265, 855, 321, 2359], np.float64(10436.176230000001), np.int64(120), 4, 'Failure']"
3443,4410,2,"[[3443, 2938, 3893, 2918, 3795, 4410], np.float64(0.0801), np.int64(200), 6, 'Success']"
7889,10818,84,"[[7889, 6274, 3083, 10818], np.float64(0.0), np.int64(328), 4, 'Success']"
1511,3996,108,"[[1511, 167, 2584, 3996], np.float64(1.00119), np.int64(120), 4, 'Success']"
9154,2336,5316,"[[9154, 8768, 2, 2336], np.float64(16.48119), np.int64(202), 4, 'Failure']"
1235,5981,90277,"[[1235, 445, 12315, 5981], np.float64(91.36737), np.int64(328), 4, 'Success']"
10297,11299,590670,"[[10297, 692, 84, 11299], np.float64(61.657830000000004), np.int64(224), 4, 'Success']"
4626,5165,2270969,"[[4626, 91, 5165], np.float64(2271.469), np.int64(230), 3, 'Success']"
1000,12556,13968045,"[[1000, 301, 445, 12556], np.float64(29.9361), np.int64(120), 4, 'Success']"
6,5257,8,"[[6, 5979, 4433, 4976, 5257], np.float64(0.00026000000000000003), np.int64(264), 5, 'Success']"
10725,7983,94,"[[10725, 10294, 11532, 48, 7983], np.float64(0.29303), np.int64(264), 5, 'Success']"
12579,11058,565,"[[12579, 36, 609, 2537, 11058], np.float64(0.01752), np.int64(192), 5, 'Success']"
1173,12343,2206,"[[1173, 1139, 3905, 855, 611, 12343], np.float64(0.48753), np.int64(200), 6, 'Success']"
12222,6592,35138,"[[12222, 12325, 6592], np.float64(0.0), np.int64(74), 3, 'Success']"
6087,1593,956463,"[[6087, 173, 61, 1593], np.float64(54.85546), np.int64(98), 4, 'Failure']"
11281,12531,2085020,
2366,50,69164962,"[[2366, 50], 0, np.int64(40), 2, 'Failure']"
2918,9410,8,"[[2918, 3919, 21, 9410], np.float64(1.00021), np.int64(114), 4, 'Success']"
2210,9300,13,"[[2210, 2919, 48, 8639, 9300], np.float64(0.0038599999999999997), np.int64(160), 5, 'Success']"
6496,1395,940,"[[6496, 600, 2223, 2821, 1395], np.float64(2.17083), np.int64(160), 5, 'Success']"
256,7105,3351,"[[256, 207, 124, 6274, 7105], np.float64(0.83777), np.int64(264), 5, 'Success']"
8363,6058,19498,"[[8363, 3815, 532, 321, 398, 6058], np.float64(6.0084), np.int64(408), 6, 'Success']"
12408,5293,495095,"[[12408, 612, 351, 5293], np.float64(71.79866), np.int64(114), 4, 'Success']"
8555,6443,4064645,"[[8555, 11837, 4792, 6443], np.float64(406.471), np.int64(114), 4, 'Failure']"
5280,50,12796384,"[[5280, 301, 1659, 50], np.float64(6398.192), np.int64(120), 4, 'Failure']"
504,5733,10,"[[504, 3371, 36, 4822, 5733], np.float64(5e-05), np.int64(296), 5, 'Success']"
7805,12726,65,"[[7805, 7218, 2, 91, 12726], np.float64(0.7616999999999999), np.int64(402), 5, 'Success']"
7523,10708,701,"[[7523, 4432, 2, 7218, 10294, 10708], np.float64(0.4206), np.int64(386), 6, 'Success']"
3793,1946,5404,"[[3793, 855, 1875, 1945, 1946], np.float64(18.301660000000002), np.int64(160), 5, 'Success']"
6230,1563,15801,"[[6230, 32, 1563], np.float64(8.8847), np.int64(184), 3, 'Success']"
431,7019,686275,"[[431, 29, 2359, 7019], np.float64(5.80394), np.int64(114), 4, 'Success']"
449,5751,6627490,"[[449, 169, 445, 55, 5751], np.float64(3675.06628), np.int64(138), 5, 'Success']"
2650,2124,12038002,"[[2650, 167, 174, 2124], np.float64(676.37878), np.int64(110), 4, 'Failure']"
12513,5884,1,"[[12513, 1917, 2, 7, 5884], np.float64(0.010199999999999999), np.int64(128), 5, 'Success']"
4600,76,47,"[[4600, 855, 1083, 76], np.float64(0.0188), np.int64(120), 4, 'Success']"
10592,7573,959,"[[10592, 10294, 124, 612, 7573], np.float64(4.10243), np.int64(264), 5, 'Success']"
6536,3561,8301,"[[6536, 609, 10345, 3561], np.float64(0.8301), np.int64(120), 4, 'Success']"
12359,6911,72951,"[[12359, 12445, 8099, 4869, 6911], np.float64(27.263199999999998), np.int64(162), 5, 'Success']"
11607,3922,527389,"[[11607, 18, 3921, 999, 3922], np.float64(7.32968), np.int64(160), 5, 'Failure']"
4807,11268,7613697,"[[4807, 64, 3778, 11268], np.float64(2027.70431), np.int64(120), 4, 'Failure']"
153,1846,29830609,"[[153, 855, 32, 1846], np.float64(29809.22163), np.int64(218), 4, 'Success']"
12780,5743,6,"[[12780, 3737, 1765, 855, 2706, 4822, 5743], np.float64(2.00122), np.int64(344), 7, 'Success']"
6031,6164,14,"[[6031, 167, 1059, 600, 6164], np.float64(1.00003), np.int64(150), 5, 'Success']"
1417,8450,694,
6764,2765,7275,"[[6764, 4338, 2537, 2765], np.float64(1.0912600000000001), np.int64(114), 4, 'Success']"
9466,3821,36680,"[[9466, 56, 160, 398, 3821], np.float64(5.34082), np.int64(264), 5, 'Success']"
5553,5366,301011,"[[5553, 855, 5366], np.float64(60.2022), np.int64(60), 3, 'Failure']"
9773,4311,1101745,"[[9773, 6951, 12236, 5773, 4311], np.float64(144.43206), np.int64(160), 5, 'Failure']"
70,576,11179622,"[[70, 321, 576], np.float64(1118.9622), np.int64(184), 3, 'Failure']"
9233,7811,10,"[[9233, 8768, 7218, 7811], np.float64(0.0), np.int64(328), 4, 'Success']"
2149,10427,35,"[[2149, 609, 2223, 10294, 10427], np.float64(3e-05), np.int64(264), 5, 'Success']"
9489,12737,336,"[[9489, 600, 12315, 12737], np.float64(1.34501), np.int64(224), 4, 'Success']"
2773,7498,2102,"[[2773, 1213, 2, 6274, 7498], np.float64(1.0021), np.int64(242), 5, 'Success']"
640,5872,35013,"[[640, 18, 3819, 5872], np.float64(1.8753199999999999), np.int64(110), 4, 'Success']"
9510,4783,210593,"[[9510, 445, 4783], np.float64(22.0593), np.int64(184), 3, 'Failure']"
5888,9622,1374916,"[[5888, 6065, 8168, 9622], np.float64(124.74491), np.int64(120), 4, 'Failure']"
137,5855,84721037,"[[137, 321, 177, 1011, 5855], np.float64(22542.14694), np.int64(170), 5, 'Failure']"
9156,10452,2,"[[9156, 8768, 10113, 11049, 10452], np.float64(0.00825), np.int64(245), 5, 'Success']"
7146,114,54,"[[7146, 6274, 3642, 2270, 114], np.float64(0.2216), np.int64(264), 5, 'Success']"
9435,6451,812,"[[9435, 1887, 32, 6451], np.float64(4.4387), np.int64(224), 4, 'Success']"
8975,5363,4770,"[[8975, 8768, 64, 4090, 5363], np.float64(16.82989), np.int64(264), 5, 'Success']"
50,10288,22774,"[[50, 11049, 10287, 10288], np.float64(23.25225), np.int64(101), 4, 'Success']"
8567,9675,798163,"[[8567, 8563, 6867, 855, 9675], np.float64(167.61583), np.int64(160), 5, 'Failure']"
8065,10010,8370546,"[[8065, 2189, 321, 10010], np.float64(18.74111), np.int64(120), 4, 'Failure']"
2552,8609,10065811,"[[2552, 66, 173, 88, 8609], np.float64(555.8696), np.int64(116), 5, 'Failure']"
3061,12289,7,"[[3061, 32, 12289], np.float64(1.00349), np.int64(184), 3, 'Success']"
2154,9863,72,"[[2154, 2155, 11207, 6980, 4353, 9863], np.float64(0.00403), np.int64(200), 6, 'Success']"
9414,13001,133,"[[9414, 5199, 12325, 13001], np.float64(0.0), np.int64(114), 4, 'Success']"
6054,2959,6782,"[[6054, 855, 32, 2959], np.float64(7.77741), np.int64(224), 4, 'Success']"
6849,1814,31810,"[[6849, 990, 563, 2, 1814], np.float64(8.39423), np.int64(138), 5, 'Failure']"
1765,48,949980,"[[1765, 445, 48], np.float64(95.998), np.int64(184), 3, 'Success']"
4300,490,2114384,"[[4300, 32, 547, 490], np.float64(1967.83185), np.int64(604), 4, 'Failure']"
8276,10455,10136489,"[[8276, 67, 177, 55, 10455], np.float64(559.7569), np.int64(116), 5, 'Success']"
9825,2490,4,"[[9825, 570, 108, 967, 1032, 2490], np.float64(0.01621), np.int64(162), 6, 'Success']"
2766,10563,18,"[[2766, 50, 124, 10294, 10563], np.float64(2.25513), np.int64(264), 5, 'Success']"
9963,7512,500,"[[9963, 64, 7218, 7512], np.float64(2.2775), np.int64(224), 4, 'Success']"
7858,3651,9295,"[[7858, 6274, 2, 32, 3651], np.float64(33.54011), np.int64(346), 5, 'Failure']"
6646,12856,39427,"[[6646, 32, 48, 12856], np.float64(24.61874), np.int64(224), 4, 'Success']"
1373,603,510400,"[[1373, 4695, 73, 603], np.float64(31.83243), np.int64(120), 4, 'Failure']"
1887,499,2934658,"[[1887, 48, 445, 499], np.float64(587.96105), np.int64(224), 4, 'Success']"
2359,1835,31643429,"[[2359, 12315, 60, 1835], np.float64(33387.81024), np.int64(224), 4, 'Failure']"
4645,9021,10,"[[4645, 3083, 7218, 8768, 9021], np.float64(0.0), np.int64(472), 5, 'Success']"
4737,9794,86,"[[4737, 314, 8179, 9794], np.float64(0.00217), np.int64(224), 4, 'Success']"
12872,12015,574,"[[12872, 1887, 6530, 314, 12015], np.float64(2.4430400000000003), np.int64(264), 5, 'Success']"
10127,6631,5096,"[[10127, 5955, 6221, 6631], np.float64(0.5096), np.int64(114), 4, 'Success']"
9362,3540,20150,"[[9362, 600, 5595, 3540], np.float64(1.0805999999999998), np.int64(120), 4, 'Success']"
6800,10153,269805,"[[6800, 57, 10171, 10153], np.float64(122.23859), np.int64(120), 4, 'Success']"
6922,3634,2367371,"[[6922, 6880, 32, 3634], np.float64(3101.64532), np.int64(224), 4, 'Failure']"
36,67,25837140,"[[36, 62, 175, 67], np.float64(0.0), np.int64(108), 4, 'Failure']"
10896,10133,6,"[[10896, 7218, 64, 175, 10133], np.float64(2.27508), np.int64(242), 5, 'Success']"
4928,11175,93,"[[4928, 4822, 2537, 11434, 11175], np.float64(0.28189), np.int64(264), 5, 'Success']"
1659,6070,862,"[[1659, 600, 6010, 609, 6070], np.float64(0.08879), np.int64(160), 5, 'Success']"
4083,6350,2465,"[[4083, 855, 6350], np.float64(0.493), np.int64(80), 3, 'Success']"
7792,6343,34587,"[[7792, 7218, 3642, 84, 6343], np.float64(104.79869), np.int64(264), 5, 'Success']"
6416,6088,163220,"[[6416, 6350, 167, 6134, 6088], np.float64(3.32644), np.int64(150), 5, 'Failure']"
6604,6829,3362713,"[[6604, 321, 131, 6829], np.float64(8.72543), np.int64(120), 4, 'Failure']"
3183,72,14158847,"[[3183, 612, 10113, 72], np.float64(15.15885), np.int64(120), 4, 'Failure']"
1175,5503,9,"[[1175, 1139, 6105, 4822, 5503], np.float64(0.00228), np.int64(264), 5, 'Success']"
4526,11821,19,"[[4526, 3083, 2537, 11821], np.float64(0.05757), np.int64(224), 4, 'Success']"
6002,449,131,"[[6002, 600, 723, 185, 449], np.float64(0.40812000000000004), np.int64(148), 5, 'Success']"
3794,9994,2182,"[[3794, 8669, 18, 9994], np.float64(2.00436), np.int64(120), 4, 'Success']"
2557,12893,30265,"[[2557, 153, 855, 12893], np.float64(10.080110000000001), np.int64(114), 4, 'Success']"
