Source,Target,Amount,LND1
4701,11092,3,"[[4701, 18, 11177, 11057, 11092], np.float64(1.0), np.int64(264), 5, 'Success']"
9805,6879,25,"[[9805, 612, 3673, 21, 6879], np.float64(3.00031), np.int64(154), 5, 'Success']"
3537,1619,338,"[[3537, 321, 12325, 9314, 6079, 600, 1236, 1619], np.float64(28.06031), np.int64(264), 8, 'Success']"
11707,6913,2368,"[[11707, 3941, 58, 5322, 6913], np.float64(10007.82954), np.int64(289), 5, 'Success']"
10841,11358,66548,"[[10841, 431, 29, 167, 6983, 11358], np.float64(2.53062), np.int64(184), 6, 'Failure']"
5004,1874,187878,"[[5004, 4833, 612, 1874], np.float64(136.51090000000002), np.int64(120), 4, 'Success']"
7982,11049,1341745,"[[7982, 439, 131, 11049], np.float64(137.51647), np.int64(120), 4, 'Failure']"
3913,8538,11537549,"[[3913, 175, 73, 720, 45, 8538], np.float64(5337.927369999999), np.int64(178), 6, 'Failure']"
5907,4946,1,"[[5907, 6946, 12325, 10113, 4822, 4946], np.float64(1e-05), np.int64(298), 6, 'Success']"
11442,5921,71,"[[11442, 609, 6020, 5899, 5921], np.float64(0.01072), np.int64(264), 5, 'Success']"
12088,4630,543,"[[12088, 21, 3083, 4630], np.float64(1.00054), np.int64(224), 4, 'Success']"
4927,10243,1506,"[[4927, 4822, 7218, 10243], np.float64(0.0), np.int64(328), 4, 'Success']"
6852,488,25960,"[[6852, 6845, 6390, 11532, 314, 858, 609, 36, 2, 488], np.float64(88.59719), np.int64(474), 10, 'Failure']"
5,3648,821900,"[[5, 894, 3648], np.float64(336.1571), np.int64(74), 3, 'Failure']"
11888,5355,1850041,"[[11888, 12325, 5199, 3674, 5355], np.float64(10011.10125), np.int64(154), 5, 'Failure']"
1229,1983,17771200,"[[1229, 2734, 321, 60, 1983], np.float64(45429.934279999994), np.int64(264), 5, 'Success']"
656,9323,7,"[[656, 73, 175, 12325, 9401, 8758, 9323], np.float64(2.25046), np.int64(212), 7, 'Success']"
8580,5281,35,"[[8580, 600, 233, 5281], np.float64(0.10507), np.int64(114), 4, 'Success']"
5534,3857,579,"[[5534, 4822, 2706, 167, 6876, 855, 3857], np.float64(3.4957700000000003), np.int64(334), 7, 'Success']"
8599,9812,4430,"[[8599, 609, 1137, 9812], np.float64(1.0088599999999999), np.int64(120), 4, 'Success']"
1178,9776,49852,"[[1178, 1139, 36, 2425, 609, 9776], np.float64(927.95755), np.int64(232), 6, 'Failure']"
6068,5585,694967,"[[6068, 3292, 12325, 137, 2909, 5585], np.float64(2892.40969), np.int64(204), 6, 'Success']"
221,3994,8998584,"[[221, 3086, 167, 177, 3994], np.float64(758.14572), np.int64(144), 5, 'Failure']"
1889,3695,13954642,"[[1889, 969, 1983, 3695], np.float64(4243.52276), np.int64(120), 4, 'Success']"
5609,11551,5,"[[5609, 175, 167, 11551], np.float64(2.25027), np.int64(110), 4, 'Success']"
274,3305,12,"[[274, 153, 2557, 50, 70, 3305], np.float64(10.00474), np.int64(172), 6, 'Success']"
4408,6022,479,"[[4408, 855, 11840, 3457, 6022], np.float64(0.0958), np.int64(160), 5, 'Success']"
1456,10788,9242,"[[1456, 1601, 167, 11837, 48, 10788], np.float64(94.37777), np.int64(178), 6, 'Success']"
7955,6751,48779,"[[7955, 50, 71, 8841, 1293, 6751], np.float64(11.860009999999999), np.int64(178), 6, 'Success']"
736,8217,773904,"[[736, 661, 10, 3256, 8217], np.float64(932.61581), np.int64(160), 5, 'Failure']"
431,6324,2872683,"[[431, 60, 12325, 5199, 6324], np.float64(10159.79751), np.int64(148), 5, 'Failure']"
5530,1846,14174172,"[[5530, 507, 18, 2189, 29, 1846], np.float64(2894.5457), np.int64(200), 6, 'Failure']"
9833,765,8,"[[9833, 73, 177, 61, 600, 765], np.float64(2.2744400000000002), np.int64(156), 6, 'Success']"
