Source,Target,Amount,LND1,LND2: c/300000.0,LND2: c/10.0
3936,12195,308776,"[[3936, 3196, 2022, 18, 383, 12195], 135.78823, 200, 6, 'Success']","[[3936, 3196, 2022, 18, 3974, 6562, 12195], 66.68212, 240, 7, 'Success']","[[3936, 3196, 2022, 18, 3974, 6562, 12195], 66.68212, 240, 7, 'Success']"
1826,3740,3648648,"[[1826, 445, 11837, 4777, 3740], 460.73922, 160, 5, 'Success']","[[1826, 445, 3974, 8733, 4777, 3740], 369.51381, 220, 6, 'Success']","[[1826, 445, 3974, 8733, 4777, 3740], 369.51381, 220, 6, 'Success']"
11466,6419,12320099,"[[11466, 10171, 321, 445, 6419], 8590.02653, 160, 5, 'Success']","[[11466, 10171, 233, 3974, 12325, 613, 1834, 6419], 283.36365, 268, 8, 'Success']","[[11466, 10171, 233, 3974, 12325, 613, 1834, 6419], 283.36365, 268, 8, 'Success']"
9319,9397,5,"[[9319, 18, 15, 638, 9397], 2.0013, 136, 5, 'Success']","[[9319, 18, 11837, 6910, 5857, 638, 9397], 2.00062, 240, 7, 'Success']","[[9319, 18, 11837, 6910, 5857, 638, 9397], 2.00062, 240, 7, 'Success']"
4233,2137,81,"[[4233, 3083, 2, 2081, 2137], 0.48673, 242, 5, 'Success']","[[4233, 3083, 2, 2081, 2137], 0.48673, 242, 5, 'Success']","[[4233, 3083, 2, 2081, 2137], 0.48673, 242, 5, 'Success']"
10362,9899,640,"[[10362, 10294, 2223, 795, 9899], 3.14288, 264, 5, 'Success']","[[10362, 10294, 4822, 3642, 167, 1121, 4343, 795, 9899], 2.92428, 622, 9, 'Success']","[[10362, 10294, 4822, 3642, 167, 1121, 4343, 795, 9899], 2.92428, 622, 9, 'Success']"
8077,30,2633,"[[8077, 855, 12, 30], 0.52923, 224, 4, 'Success']","[[8077, 855, 6876, 167, 11654, 308, 11837, 149, 30], 0.02206, 370, 9, 'Success']","[[8077, 855, 6876, 167, 11654, 308, 11837, 149, 30], 0.02206, 370, 9, 'Success']"
11501,6526,26503,"[[11501, 32, 6526], 14.225, 184, 3, 'Success']","[[11501, 32, 6526], 14.225, 184, 3, 'Success']","[[11501, 32, 6526], 14.225, 184, 3, 'Success']"
5602,1095,385325,"[[5602, 314, 7234, 18, 1095], 2.5433, 264, 5, 'Success']","[[5602, 314, 570, 18, 1095], 1.38732, 246, 5, 'Success']","[[5602, 314, 570, 18, 1095], 1.38732, 246, 5, 'Success']"
1989,12473,3409739,"[[1989, 2290, 10113, 12148, 12186, 2698, 3607, 12473], 2597.32818, 274, 8, 'Success']","[[1989, 2290, 18, 6980, 12540, 12186, 2698, 3607, 12473], 1743.9845900000003, 320, 9, 'Success']","[[1989, 2290, 18, 6980, 12540, 12186, 2698, 3607, 12473], 1743.9845900000003, 320, 9, 'Success']"
